medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid
5190991000006111,10,^ESCTPR519099, ,Provision of mobility aid,243751002,364558011
5606051000006118,20,^ESCTIM560605, ,Immobility stiffness,277892007,414625013
5894511000006114,40,^ESCTUN589451, ,Unable to mobilise indoors,301498003,442819019
5894591000006116,60,^ESCTDI589459, ,Difficulty mobilising indoors,301501003,442826019
5895351000006118,200,^ESCTUN589535, ,Unable to mobilise outside,301564009,442905018
5895411000006112,20,^ESCTDO589541, ,Does not mobilise outside,301566006,442911015
5895441000006111,200,^ESCTDI589544, ,Difficulty mobilising outside,301568007,442915012
5895461000006110,300,^ESCTAB589546, ,Ability to mobilise using mobility aids,301569004,442916013
5895481000006117,300,^ESCTAB589548, ,Able to mobilise using mobility aids,301570003,442918014
5895501000006110,50,^ESCTUN589550, ,Unable to mobilise using mobility aids,301571004,442921011
5895521000006117,70,^ESCTDO589552, ,Does mobilise using aids,301572006,442922016
5895561000006111,20,^ESCTDO589556, ,Does not mobilise using mobility aids,301573001,442927010
5895581000006118,20,^ESCTDI589558, ,Difficulty mobilising using mobility aids,301574007,442928017
5895601000006111,80,^ESCTAB589560, ,Ability to mobilise using wheelchair,301575008,442930015
5895621000006118,20,^ESCTAB589562, ,Able to mobilise using wheelchair,301576009,442932011
5895641000006113,4,^ESCTUN589564, ,Unable to mobilise using wheelchair,301577000,442935013
5895661000006112,40,^ESCTDO589566, ,Does mobilise using wheelchair,301578005,442939019
5895701000006116,40,^ESCTDO589570, ,Does not mobilise using wheelchair,301579002,442940017
5895721000006114,2,^ESCTDI589572, ,Difficulty mobilising using wheelchair,301580004,442943015
5902051000006118,80,^ESCTUN590205, ,Unable to mobilise,302043000,443575018
5902061000006116,1,^ESCTUN590206, ,Unable to mobilize,302043000,443576017
5902131000006114,400,^ESCTDI590213, ,Difficulty mobilising,302046008,443584018
7726321000006111,1,^ESCTUN772632, ,Unable to mobilise in home,715000004,3301093012
8195291000006118,1,^ESCTDE819529, ,Dependent lymphoedema due to immobility,519381000000101,1159681000000114
8447331000006112,1,^ESCTDO844733, ,Does mobilise using mobility scooter,1073861000000108,2691231000000115
14061211000006116,5,^ESCT1406121, ,Limited mobility,82971005,3973224010
97947014,9000,8D9-3,8D9..13,Wheelchair,58938008,3300644011
216597017,20000,9RA,9RA..00,Wheelchair applied for,135837009,216597017
256964013,100000,3981,3981.00,Independent in wheelchair,165243005,256964013
256965014,8000,3982,3982.00,Minimal help in wheelchair,165244004,256965014
332887011,200,U1050,U105000,Fall from wheelchair,17886000,30221011
332896011,3,U1057,U105700,"[X]Fall involving wheelchair, occurrence on farm",17886000,30221011
342730011,1000,ESCTPR12, ,Provision of wheelchair,228613001,342730011
460705012,20000,ZV462,ZV46200,Dependence on wheelchair,105503008,3300584010
460879012,4000,ZV538,ZV53800,[V]Fitting or adjustment of wheelchair,859331000000109,2223221000000114
1221608017,300,U105,U105.00,[X]Fall involving wheelchair,17886000,1221608017
2160059012,70000,8HHC,8HHC.00,Referred for wheelchair assessment,408509005,2160059012
2474670012,8000,398A,398A.00,Dependent on helper pushing wheelchair,413121008,2474670012
147511000006117,1000,8D92,8D92.00,Self-propelled wheelchair,183240000,283250019
385311000006119,1,U1056,U105600,"[X]Fall involv wheelchair, occurrnce at indust/constr area",17886000,30221011
385321000006110,6,U105y,U105y00,"[X]Fall involv wheelchair, occurrnce at other specif place",17886000,30221011
385581000006118,7,U105z,U105z00,[X]Fall involving wheelchair occurrnce at unspecified place,17886000,30221011
385611000006114,30,U1054,U105400,"[X]Fall involving wheelchair, occurrence on street/highway",17886000,30221011
385621000006118,2,U1053,U105300,"[X]Fall involving wheelchair, occurrn at sport/athlet area",17886000,30221011
385631000006115,30,U1051,U105100,[X]Fall involvng wheelchair occurrence residential instit'n,17886000,30221011
385641000006113,2,U1055,U105500,[X]Fall involvng wheelchair occurrnce at trade/service area,17886000,30221011
498651000006112,1000,8D9A,8D9A.00,Attendant powered wheelchair,183248007,283258014
926201000006115,1,PCNQIN12, ,Independent in wheelchair,926201000006104,926201000006115
926211000006117,2,PCNQMI2, ,Minimal help in wheelchair,926211000006101,926211000006117
1138691000000117,100,9R43,9R43.00,Wheelchair in need of repair,473191002,2956040010
1138731000000111,50,9R44,9R44.00,Wheelchair in good repair,473192009,2956000016
1965091000006116,900,EMISNQWH3, ,Wheelchair assessment,1965091000006100,1965091000006116
2223221000000114,70,8N1,8N1..00,Modification of wheelchair,859331000000109,2223221000000114
2301471000000110,10000,8T0M,8T0M.00,Referral to wheelchair service,894131000000102,2301471000000110
3457491000006116,200,^ESCTWH345749, ,Wheelchair device,58938008,3300645012
4421501000006118,4,^ESCTUS442150, ,Using wheelchair,129015001,207715012
4721471000006116,6,^ESCTPE472147, ,Pedal powered wheelchair,183241001,283251015
4721551000006110,80,^ESCTWH472155, ,Wheelchair seating,183249004,283261010
4721561000006112,2,^ESCTMO472156, ,Moulded wheelchair seat,183250004,283262015
4944071000006117,80,^ESCTWH494407, ,Wheelchair bound,225612007,339032010
4944091000006116,1,^ESCTDE494409, ,Dependent on wheelchair,225612007,3035684019
4985441000006113,30,^ESCTMA498544, ,Manual wheelchair,228869008,343075011
5703341000006118,3,^ESCTCO570334, ,Controlling electric wheelchair training,285595008,424627018
5904841000006115,60,^ESCTAB590484, ,Ability to perform wheelchair transfers,302268006,443862011
5904851000006118,10,^ESCTAB590485, ,Able to perform wheelchair transfers,302269003,443863018
5904861000006116,7,^ESCTUN590486, ,Unable to perform wheelchair transfers,302270002,443864012
5904891000006112,3,^ESCTDO590489, ,Does not perform wheelchair transfers,302272005,443867017
5904901000006111,6,^ESCTDI590490, ,Difficulty performing wheelchair transfers,302273000,443868010
5904911000006114,3,^ESCTAB590491, ,Ability to transfer between wheelchair and toilet,302274006,443869019
7021451000006115,1,^ESCTWH702145, ,Wheelchair tolerance assessment,424184006,2645648016
7601441000006116,1,^ESCTEL760144, ,Electric-motor-driven wheelchair,705423000,3024108016
7691641000006116,1,^ESCTRE769164, ,Requires supervision to perform wheelchair transfer,712501004,3082438010
8063241000006118,100,^ESCTUS806324, ,Uses wheelchair indoors,203241000000107,310441000000113
8063251000006116,200,^ESCTUS806325, ,Uses wheelchair outdoors,203251000000105,310461000000114
8261891000006116,700,^ESCTRE826189, ,Referral for wheelchair assessment,812931000000109,2119921000000114
8423521000006111,1,^ESCTRE842352, ,Recommendation on wheelchair requirement,1045421000000103,2634781000000118
14282331000006116,20,EMISNQRE648, ,Referred to wheelchair service,14282331000006100,14282331000006116
250470015,100000,13C4,13C4.00,Needs walking aid in home,160683008,250470015
256974011,30000,39B,39B..00,Walking aid use,165251008,256974011
256976013,90000,39B1,39B1.00,Stick only for walking,165253006,256976013
256977016,10000,39B2,39B2.00,Tripod/quadrupod: walking,165254000,256977016
256979018,20000,39BZ,39BZ.00,Walking aid use - finding,365112008,488300012
256987017,4000,39D0,39D0.00,Walks in 1 minute 0-29 metres,165264009,256987017
256990011,6000,39D1,39D1.00,Walks in 1 minute 30-59 metres,165265005,256990011
283114017,300,8D441,8D44100,Walking tripod,183147006,283114017
283277011,4000,8DA6,8DA6.00,Loan of walking stick,183259003,283277011
310951016,9000,N0970,N097000,Walking difficulty due to unspecified site,228158008,342179011
310952011,300,N0971,N097100,Walking difficulty due to pelvic region and thigh,202567001,310952011
310954012,500,N0972,N097200,Walking difficulty due to lower leg,202569003,310954012
310955013,1000,N0973,N097300,Walking difficulty due to ankle and foot,202570002,310955013
310956014,100,N0974,N097400,Walking difficulty due to other specified site,228158008,342179011
310957017,80,N0975,N097500,Walking difficulty due to multiple sites,202572005,310957017
310958010,6000,N097z,N097z00,Difficulty walking,719232003,3315596014
318012012,800,Ryu31,Ryu3100,"[X]Difficulty in walking, not elsewhere classified",228158008,342179011
370598017,4000,185-1,185..11,Walking distance reduced,248244005,370598017
397184014,5000,8D44,8D44.00,Walking frame,266731002,397184014
415746019,300,8D44-1,8D44.11,Walking orthosis,278738003,415746019
420456015,10000,3993,3993.00,Difficulty walking up stairs,282195009,420456015
1780368017,6000,22I31,22I3100,Not yet walking,401169009,1780368017
2838091011,2000,39B7,39B7.00,Uses two crutches for walking,443663000,2838091011
2838470011,20000,39B4,39B4.00,Uses single walking stick,443320005,2838470011
2840178012,1000,39B6,39B6.00,Uses single crutch for walking,443392007,2840178012
2840316012,2000,39B5,39B5.00,Uses two walking sticks,443699005,2840316012
620911000006112,70000,N097,N097.00,Walking disability,228158008,342179011
917501000006114,10,PC0256, ,Loan of walking stick,917501000006105,917501000006114
926321000006118,4,PCNQST5, ,Stick only for walking,926321000006102,926321000006118
926351000006110,1,PCNQOT7, ,Other walking aid,926351000006106,926351000006110
1723131000006116,3,TRIQQNRE109, ,Restrict mobility-using crutches/walking stick if appro,1723131000006100,1723131000006116
1723141000006114,3,TRIQQNRE110, ,Res:Restrict mobil-using crutches/walking stick if appro,1723141000006105,1723141000006114
1723171000006118,4,TRIQQNRE111, ,Res:Very restrict mob-using crutches/walking stick if appro,1723171000006102,1723171000006118
1746341000006115,100000,EMISNQGP18, ,GPPAQ hours in last week spent walking - none,1746341000006104,1746341000006115
1746351000006118,400000,EMISNQGP19, ,GPPAQ hrs in last week spent walking-some but less than 1hr,1746351000006102,1746351000006118
1746361000006116,700000,EMISNQGP20, ,GPPAQ hrs in last week spent walking-1hr but less than 3hrs,1746361000006100,1746361000006116
1752161000000112,3000,398B,398B.00,Deterioration in ability to walk,711387003,3078211016
1754901000000116,100,398C,398C.00,Deterioration in ability to walk up stairs,707261001,3029485014
1958331000006117,70,EMISNQLO35, ,Loan of other walking aid,1958331000006101,1958331000006117
4933731000006116,200,^ESCTWA493373, ,Walking aid,224899006,338031012
4976511000006110,1,^ESCTIM497651, ,Impaired walking,228158008,1222975018
5660941000006115,300,^ESCTUN566094, ,Unable to walk,282145008,420381018
5660971000006111,8,^ESCTDO566097, ,Does not walk,282147000,420384014
5661021000006115,2,^ESCTUN566102, ,Unable to walk on the flat,282150002,420387019
5661091000006118,6,^ESCTDI566109, ,Difficulty walking on the flat,282153000,420391012
5661291000006114,2,^ESCTUN566129, ,Unable to walk up hill,282168004,420409018
5661361000006111,10,^ESCTDI566136, ,Difficulty walking up hill,282171007,420417014
5661751000006110,50,^ESCTDO566175, ,Does not walk up stairs,282194008,420453011
5661811000006117,1,^ESCTUN566181, ,Unable to walk down stairs,282198006,420459010
5661851000006116,3,^ESCTDI566185, ,Difficulty walking down stairs,282201001,420463015
6209201000006117,5,^ESCTWA620920, ,Walking stick,360006004,475657019
7074981000006116,100,^ESCTDE707498, ,Dependent for walking,427512004,2674978013
7308591000006113,30,^ESCTTH730859, ,Three wheeled walking frame,445467007,2872070015
7601301000006110,1,^ESCTWA760130, ,Walker/Walking frame,705404007,3024070013
7601321000006117,1,^ESCTWA760132, ,Walking stick/Crutches,705407000,3024076019
256978014,50000,39B3,39B3.00,Uses zimmer frame,165255004,256978014
283112018,2000,8D440,8D44000,Zimmer frame,183146002,283112018
1958321000006115,20,EMISNQLO34, ,Loan of zimmer frame,1958321000006104,1958321000006115
256968011,50000,3990,3990.00,Unable to climb stairs,165247006,256968011
256969015,30000,3991,3991.00,Needs help on stairs,165248001,256969015
5661781000006119,6,^ESCTDI566178, ,Difficulty climbing stairs,282195009,420455016
5895761000006115,80,^ESCTUN589576, ,Unable to manage steps and stairs,301583002,442946011
5895791000006111,60,^ESCTDO589579, ,Does not manage steps and stairs,301585009,442949016
5895801000006112,70,^ESCTDI589580, ,Difficulty managing steps and stairs,301586005,442950016
5895831000006116,700,^ESCTUN589583, ,Unable to manage stairs,301589003,442953019
5895861000006113,80,^ESCTDO589586, ,Does not manage stairs,301591006,442956010
5895871000006118,200,^ESCTDI589587, ,Difficulty managing stairs,301592004,442957018
5896241000006118,60,^ESCTAB589624, ,Able to use stair lift,301625002,442996012
5896251000006116,4,^ESCTUN589625, ,Unable to use stair lift,301626001,442997015
5896261000006119,90,^ESCTDO589626, ,Does use stair lift,301627005,442998013
5896291000006110,3,^ESCTDI589629, ,Difficulty using stair lift,301629008,443001017
7426331000006116,1,^ESCTST742633, ,"Stairlift, chair",465153004,2945830012
