medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid
857181000006110,7,EGTONLE2, ,Left hemiplegia,857181000006106,857181000006110
905891000006114,5,HNG0058, ,[RFC] Paraplegias,905891000006105,905891000006114
2603391000006117,10,^ESCTDI260339, ,Diplegia,6481005,11751015
2655381000006112,2,^ESCTTR265538, ,Triplegia,9753004,17055011
3142331000006112,1,^ESCTHS314233, ,HSP - Hereditary spastic paraplegia,39912006,1229576012
3200351000006114,1,^ESCTCO320035, ,Congenital hemiplegia,43486001,72531016
3247231000006116,2,^ESCTPR324723, ,Progressive external ophthalmoplegia,46252003,77128019
3898311000006115,6,^ESCTMO389831, ,Monoplegia,86022000,142620013
5611491000006112,1,^ESCTLT561149, ,LT - Left hemiplegia,278285008,415148011
5651361000006115,20,^ESCTSP565136, ,Spastic diplegia,281411007,419411016
6029971000006116,1,^ESCTRE602997, ,Residual hemiplegia,313434001,457324012
6703111000006118,1,^ESCTAL670311, ,Alternating hemiplegia,404689008,2156583019
7828621000006116,1,^ESCTSP782862, ,"Spastic paraplegia, intellectual disability, palmoplantar hyperkeratosis syndrome",722209002,3331164011
7951441000006113,1,^ESCTAU795144, ,Autosomal recessive spastic paraplegia disc herniation syndrome,732933009,3467560013
8089531000006113,1,^ESCTIN808953, ,Incomplete paraplegia,290411000119106,2967390014
250468012,200000,13C2,13C2.00,Mobile outside with aid,160681005,250468012
250474012,30000,3980,3980.00,Immobile,102491009,250474012
250488011,60000,13CD,13CD.00,Mobility very poor,160692006,250488011
250489015,300000,13CE,13CE.00,Mobility poor,160693001,250489015
311615015,5000,N2331,N233100,Immobility syndrome,203041005,311615015
317082017,20000,R00A,R00A.00,Poor mobility,160693001,250490012
460845011,100000,ZV4L0,ZV4L000,Reduced mobility,8510008,506386018
505366010,40000,13CP,13CP.00,Impaired mobility,82971005,505366010
336481000006119,8000,ZV4L0-1,ZV4L011,[V] Poor mobility,8510008,506386018
785381000006113,30000,13CC,13CC.00,Immobile,102491009,250474012
909161000006110,3000,HNGP002, ,[RFC] Mobility problem,909161000006106,909161000006110
926191000006118,1,PCNQIM1, ,Immobile,926191000006102,926191000006118
955281000006117,1,TRIQQM11, ,M1 - restricted/very restricted mobility,955281000006101,955281000006117
982491000006119,5000,EMISCRE18, ,Reduced mobility,982491000006103,982491000006119
1776821000006118,400,EMISNQRE240, ,Reason for referral: Mobility Problems,1776821000006102,1776821000006118
1817081000006119,2000,R00C,R00C.00,[D]Immobility,102491009,250474012
1817441000006119,2000,ZV4L3,ZV4L300,[V]Need for assistance due to reduced mobility,8510008,506386018
1850141000006115,60,EMISNQRE328, ,Response to treatment - mobility not improved,1850141000006104,1850141000006115
1877251000006112,1,JHCSI12, ,Significant mobility issues,1877251000006108,1877251000006112
2635911000006119,30,^ESCTLI263591, ,Limited mobility,8510008,506385019
2665031000006117,2,^ESCTMU266503, ,Musculoskeletal hypomobility,10379002,18065015
4720551000006115,700,^ESCTMO472055, ,Mobility aid,183135000,2615948012
4720561000006118,800,^ESCTMO472056, ,Mobility aids,183135000,283086010
4720571000006113,30,^ESCTEQ472057, ,Equipment to aid mobility,183135000,283087018
5190971000006110,200,^ESCTPR519097, ,Provision of mobility device,243751002,364556010
5190991000006111,10,^ESCTPR519099, ,Provision of mobility aid,243751002,364558011
5606051000006118,20,^ESCTIM560605, ,Immobility stiffness,277892007,414625013
5894511000006114,40,^ESCTUN589451, ,Unable to mobilise indoors,301498003,442819019
5894591000006116,60,^ESCTDI589459, ,Difficulty mobilising indoors,301501003,442826019
5895351000006118,200,^ESCTUN589535, ,Unable to mobilise outside,301564009,442905018
5895411000006112,20,^ESCTDO589541, ,Does not mobilise outside,301566006,442911015
5895441000006111,200,^ESCTDI589544, ,Difficulty mobilising outside,301568007,442915012
5895461000006110,300,^ESCTAB589546, ,Ability to mobilise using mobility aids,301569004,442916013
5895481000006117,300,^ESCTAB589548, ,Able to mobilise using mobility aids,301570003,442918014
5895501000006110,50,^ESCTUN589550, ,Unable to mobilise using mobility aids,301571004,442921011
5895521000006117,70,^ESCTDO589552, ,Does mobilise using aids,301572006,442922016
5895561000006111,20,^ESCTDO589556, ,Does not mobilise using mobility aids,301573001,442927010
5895581000006118,20,^ESCTDI589558, ,Difficulty mobilising using mobility aids,301574007,442928017
5895601000006111,80,^ESCTAB589560, ,Ability to mobilise using wheelchair,301575008,442930015
5895621000006118,20,^ESCTAB589562, ,Able to mobilise using wheelchair,301576009,442932011
5895641000006113,4,^ESCTUN589564, ,Unable to mobilise using wheelchair,301577000,442935013
5895661000006112,40,^ESCTDO589566, ,Does mobilise using wheelchair,301578005,442939019
5895701000006116,40,^ESCTDO589570, ,Does not mobilise using wheelchair,301579002,442940017
5895721000006114,2,^ESCTDI589572, ,Difficulty mobilising using wheelchair,301580004,442943015
5902051000006118,80,^ESCTUN590205, ,Unable to mobilise,302043000,443575018
5902061000006116,1,^ESCTUN590206, ,Unable to mobilize,302043000,443576017
5902131000006114,400,^ESCTDI590213, ,Difficulty mobilising,302046008,443584018
7726321000006111,1,^ESCTUN772632, ,Unable to mobilise in home,715000004,3301093012
8195291000006118,1,^ESCTDE819529, ,Dependent lymphoedema due to immobility,519381000000101,1159681000000114
8447331000006112,1,^ESCTDO844733, ,Does mobilise using mobility scooter,1073861000000108,2691231000000115
14061211000006116,5,^ESCT1406121, ,Limited mobility,82971005,3973224010
97947014,9000,8D9-3,8D9..13,Wheelchair,58938008,3300644011
216597017,20000,9RA,9RA..00,Wheelchair applied for,135837009,216597017
256964013,100000,3981,3981.00,Independent in wheelchair,165243005,256964013
256965014,8000,3982,3982.00,Minimal help in wheelchair,165244004,256965014
332887011,200,U1050,U105000,Fall from wheelchair,17886000,30221011
332896011,3,U1057,U105700,"[X]Fall involving wheelchair, occurrence on farm",17886000,30221011
342730011,1000,ESCTPR12, ,Provision of wheelchair,228613001,342730011
460705012,20000,ZV462,ZV46200,Dependence on wheelchair,105503008,3300584010
460879012,4000,ZV538,ZV53800,[V]Fitting or adjustment of wheelchair,859331000000109,2223221000000114
1221608017,300,U105,U105.00,[X]Fall involving wheelchair,17886000,1221608017
2160059012,70000,8HHC,8HHC.00,Referred for wheelchair assessment,408509005,2160059012
2474670012,8000,398A,398A.00,Dependent on helper pushing wheelchair,413121008,2474670012
147511000006117,1000,8D92,8D92.00,Self-propelled wheelchair,183240000,283250019
385311000006119,1,U1056,U105600,"[X]Fall involv wheelchair, occurrnce at indust/constr area",17886000,30221011
385321000006110,6,U105y,U105y00,"[X]Fall involv wheelchair, occurrnce at other specif place",17886000,30221011
385581000006118,7,U105z,U105z00,[X]Fall involving wheelchair occurrnce at unspecified place,17886000,30221011
385611000006114,30,U1054,U105400,"[X]Fall involving wheelchair, occurrence on street/highway",17886000,30221011
385621000006118,2,U1053,U105300,"[X]Fall involving wheelchair, occurrn at sport/athlet area",17886000,30221011
385631000006115,30,U1051,U105100,[X]Fall involvng wheelchair occurrence residential instit'n,17886000,30221011
385641000006113,2,U1055,U105500,[X]Fall involvng wheelchair occurrnce at trade/service area,17886000,30221011
498651000006112,1000,8D9A,8D9A.00,Attendant powered wheelchair,183248007,283258014
926201000006115,1,PCNQIN12, ,Independent in wheelchair,926201000006104,926201000006115
926211000006117,2,PCNQMI2, ,Minimal help in wheelchair,926211000006101,926211000006117
1138691000000117,100,9R43,9R43.00,Wheelchair in need of repair,473191002,2956040010
1138731000000111,50,9R44,9R44.00,Wheelchair in good repair,473192009,2956000016
1965091000006116,900,EMISNQWH3, ,Wheelchair assessment,1965091000006100,1965091000006116
2223221000000114,70,8N1,8N1..00,Modification of wheelchair,859331000000109,2223221000000114
2301471000000110,10000,8T0M,8T0M.00,Referral to wheelchair service,894131000000102,2301471000000110
3457491000006116,200,^ESCTWH345749, ,Wheelchair device,58938008,3300645012
4421501000006118,4,^ESCTUS442150, ,Using wheelchair,129015001,207715012
4721471000006116,6,^ESCTPE472147, ,Pedal powered wheelchair,183241001,283251015
4721551000006110,80,^ESCTWH472155, ,Wheelchair seating,183249004,283261010
4721561000006112,2,^ESCTMO472156, ,Moulded wheelchair seat,183250004,283262015
4944071000006117,80,^ESCTWH494407, ,Wheelchair bound,225612007,339032010
4944091000006116,1,^ESCTDE494409, ,Dependent on wheelchair,225612007,3035684019
4985441000006113,30,^ESCTMA498544, ,Manual wheelchair,228869008,343075011
5703341000006118,3,^ESCTCO570334, ,Controlling electric wheelchair training,285595008,424627018
5904841000006115,60,^ESCTAB590484, ,Ability to perform wheelchair transfers,302268006,443862011
5904851000006118,10,^ESCTAB590485, ,Able to perform wheelchair transfers,302269003,443863018
5904861000006116,7,^ESCTUN590486, ,Unable to perform wheelchair transfers,302270002,443864012
5904891000006112,3,^ESCTDO590489, ,Does not perform wheelchair transfers,302272005,443867017
5904901000006111,6,^ESCTDI590490, ,Difficulty performing wheelchair transfers,302273000,443868010
5904911000006114,3,^ESCTAB590491, ,Ability to transfer between wheelchair and toilet,302274006,443869019
7021451000006115,1,^ESCTWH702145, ,Wheelchair tolerance assessment,424184006,2645648016
7601441000006116,1,^ESCTEL760144, ,Electric-motor-driven wheelchair,705423000,3024108016
7691641000006116,1,^ESCTRE769164, ,Requires supervision to perform wheelchair transfer,712501004,3082438010
8063241000006118,100,^ESCTUS806324, ,Uses wheelchair indoors,203241000000107,310441000000113
8063251000006116,200,^ESCTUS806325, ,Uses wheelchair outdoors,203251000000105,310461000000114
8261891000006116,700,^ESCTRE826189, ,Referral for wheelchair assessment,812931000000109,2119921000000114
8423521000006111,1,^ESCTRE842352, ,Recommendation on wheelchair requirement,1045421000000103,2634781000000118
14282331000006116,20,EMISNQRE648, ,Referred to wheelchair service,14282331000006100,14282331000006116
124598014,3000,F1370,F137000,Athetoid cerebral palsy,75019001,124598014
206411014,10000,F2B,F2B..00,Cerebral palsy,128188000,206411014
297233015,300,F23y,F23y.00,Other congenital cerebral palsy,128188000,206411014
297234014,700,F23y0,F23y000,Ataxic infantile cerebral palsy,278512001,2995485017
297238012,2000,F23yz,F23yz00,Other infantile cerebral palsy NOS,128188000,206411014
297239016,10000,F23z,F23z.00,Congenital cerebral palsy NOS,128188000,2995060017
299393011,2000,Fyu9,Fyu9.00,[X]Cerebral palsy and other paralytic syndromes,408371000000100,897791000000110
299394017,300,Fyu90,Fyu9000,[X]Other infantile cerebral palsy,128188000,206411014
345771011,10000,F23-2,F23..12,Infantile cerebral palsy,128188000,2995381013
345773014,10000,F23y2,F23y200,Spastic cerebral palsy,230773005,345773014
345780011,900,F23y3,F23y300,Dyskinetic cerebral palsy,230780007,345780011
411453017,80000,F23,F23..00,Congenital cerebral palsy,128188000,2995060017
411454011,1000,F23-1,F23..11,Congenital spastic cerebral palsy,230773005,2995835018
451123015,2000,G669,G669.00,"Cerebral palsy, not congenital or infantile, acute",307756005,451123015
2475877015,800,F23y4,F23y400,Ataxic diplegic cerebral palsy,58193001,96715019
3509879014,1,^ESCT1170883, ,Neuromuscular scoliosis due to cerebral palsy,330471000119101,3509879014
497021000006113,1000,F137-1,F137.11,Athetoid cerebral palsy,75019001,124598014
761411000006111,8,F23y1,F23y100,Flaccid infantile cerebral palsy,192958009,297235010
907241000006111,3000,HNG0180, ,[RFC] Cerebral palsy,907241000006107,907241000006111
907411000006113,300,HNG0197, ,[RFC] Cerebral palsy,907411000006109,907411000006113
1776511000006112,4,EMISNQRE209, ,Reason for referral: Cerebral Palsy,1776511000006108,1776511000006112
1815931000006114,700,F2301-1,F230111,Spastic diplegic cerebral palsy,58193001,2168501000000119
1815951000006119,2000,F2B0,F2B0.00,Spastic quadriplegic cerebral palsy,48721008,3010116017
1815971000006112,400,F2By,F2By.00,Other cerebral palsy,128188000,206411014
1815981000006110,900,F2Bz,F2Bz.00,Cerebral palsy NOS,128188000,206411014
1882961000006112,30,13Cd0,13Cd000,Gross Motor Function Classification System for Cerebral Palsy level I,881521000000108,2273761000000113
1882971000006117,50,13Cd1,13Cd100,Gross Motor Function Classification System for Cerebral Palsy level II,881541000000101,2273811000000118
1882981000006119,20,13Cd2,13Cd200,Gross Motor Function Classification System for Cerebral Palsy level III,882021000000108,2274841000000119
1882991000006116,40,13Cd3,13Cd300,Gross Motor Function Classification System for Cerebral Palsy level IV,882041000000101,2274891000000112
1883001000006115,30,13Cd4,13Cd400,Gross Motor Function Classification System for Cerebral Palsy level V,882061000000100,2274951000000114
1900531000006119,1,2Ba0,2Ba0.00,Surveillance of Cerebral Palsy in Europe classification - predominant pattern A - maldevelopment,914411000000107,2349551000000114
1900541000006112,1,2Ba00,2Ba0000,Surveillance of Cerebral Palsy in Europe classification - predominant pattern A.1.1 - disorder of proliferation,914661000000107,2350091000000115
1900551000006114,1,2Ba01,2Ba0100,Surveillance of Cerebral Palsy in Europe classification - predominant pattern A.1.2 - disorder of migration,914681000000103,2350141000000114
1900561000006111,3,2Ba02,2Ba0200,Surveillance of Cerebral Palsy in Europe classification - predominant pattern A.1.3 - disorder of organisation,914701000000101,2350191000000116
1900571000006116,1,2Ba03,2Ba0300,Surveillance of Cerebral Palsy in Europe classification - predominant pattern A.2 - unspecified maldevelopment,914751000000100,2350301000000113
1900581000006118,1,2Ba1,2Ba1.00,Surveillance of Cerebral Palsy in Europe classification - predominant pattern B - predominant white matter injury,914431000000104,2349601000000112
1900591000006115,20,2Ba10,2Ba1000,Surveillance of Cerebral Palsy in Europe classification - predominant pattern B.1 - periventricular leucomalacia,914871000000104,2350661000000118
1900601000006111,3,2Ba11,2Ba1100,Surveillance of Cerebral Palsy in Europe classification - predominant pattern B.2 - sequelae of intraventricular haemorrhage or periventricular infarction,914891000000100,2350711000000114
1900611000006114,5,2Ba12,2Ba1200,Surveillance of Cerebral Palsy in Europe classification - predominant pattern B.3 - combination of periventricular leucomalacia and intraventricular haemorrhage sequelae,914911000000102,2350761000000111
1900621000006118,1,2Ba2,2Ba2.00,Surveillance of Cerebral Palsy in Europe classification - predominant pattern C - predominant grey matter injury,914451000000106,2349651000000113
1900631000006115,7,2Ba20,2Ba2000,Surveillance of Cerebral Palsy in Europe classification - predominant pattern C.1 - basal ganglia and thalamus lesions,914951000000103,2350861000000119
1900641000006113,2,2Ba21,2Ba2100,Surveillance of Cerebral Palsy in Europe classification - predominant pattern C.2 - parasagittal lesions,914971000000107,2350911000000111
1900651000006110,100,2Ba22,2Ba2200,Surveillance of Cerebral Palsy in Europe classification - predominant pattern C.3 - infarct of the middle cerebral artery,914991000000106,2350961000000113
1900661000006112,1,2Ba3,2Ba3.00,Surveillance of Cerebral Palsy in Europe classification - predominant pattern D - unspecified,914491000000103,2349741000000119
1900671000006117,1,2Ba4,2Ba4.00,Surveillance of Cerebral Palsy in Europe classification - predominant pattern E - normal,914931000000105,2350811000000116
2122001000000116,600,F2B1,F2B1.00,Spastic hemiplegic cerebral palsy,813921000000104,2122001000000116
2283041000000116,10,F23y6-1,F23y611,Choreo-athetotic cerebral palsy,885831000000109,2283041000000116
2283831000000117,70,F23y6,F23y600,Choreoathetoid cerebral palsy,885831000000109,2283831000000117
2326271000000114,200,F2B2,F2B2.00,Bilateral spastic cerebral palsy,904531000000100,2326271000000114
3200341000006112,4,^ESCTHE320034, ,Hemiplegic cerebral palsy,43486001,72530015
3288331000006116,30,^ESCTQU328833, ,Quadriplegic cerebral palsy,48721008,81177014
3445431000006112,500,^ESCTDI344543, ,Diplegic cerebral palsy,58193001,96715019
3445451000006117,30,^ESCTSP344545, ,Spastic diplegic cerebral palsy,58193001,3010096015
4769391000006119,20,^ESCTHY476939, ,Hypotonic cerebral palsy,192958009,297235010
5012421000006114,4,^ESCTDY501242, ,Dystonic/rigid cerebral palsy,230781006,345781010
5614181000006116,2,^ESCTAT561418, ,Ataxic cerebral palsy,278512001,415444017
7557921000006113,10,^ESCTDY755792, ,Dystonic cerebral palsy,702315006,2995761014
7557961000006119,2,^ESCTBI755796, ,Bilateral cerebral palsy,702319000,2995254011
7557971000006114,2,^ESCTBI755797, ,Bilateral spastic cerebral palsy,702319000,2995435014
8307611000006113,2,^ESCTGM830761, ,GMFCS (Gross Motor Function Classification System) for Cerebral Palsy level II,881541000000101,2273821000000112
8308141000006118,1,^ESCTGM830814, ,GMFCS (Gross Motor Function Classification System) for Cerebral Palsy level III,882021000000108,2274871000000113
8308171000006114,1,^ESCTGM830817, ,GMFCS (Gross Motor Function Classification System) for Cerebral Palsy level IV,882041000000101,2274901000000113
8308201000006113,1,^ESCTGM830820, ,GMFCS (Gross Motor Function Classification System) for Cerebral Palsy level V,882061000000100,2274961000000112
12465281000006112,10,^ESCT1246528, ,[X]Cerebral palsy and other paralytic syndromes,408371000000100,897791000000110
254908010,2000,2948,2948.00,O/E - muscle tone spastic,163650000,254908010
254948019,800,2992,2992.00,O/E - gait spastic,163685000,254948019
254949010,300,2992-1,2992.11,O/E - spastic gait,163685000,254949010
283317016,400,8E54,8E54.00,Exercises for spasticity,183292009,283317016
312267014,200,N3402,N340200,Peroneal spastic flat foot,203533003,312267014
317122017,3000,R0122,R012200,Spastic gait,9447003,16553018
345779013,70,F233-1,F233.11,Congenital spastic foot,230779009,345779013
450556015,400,F221-1,F221.11,Spastic foot,307324001,450556015
1488401018,6000,2949,2949.00,Lower limb spasticity,394679006,1488401018
1488402013,2000,294A,294A.00,Upper limb spasticity,394680009,1488402013
132691000006110,200,PE61-4,PE61.14,Spastic flat foot,23407003,39291010
851371000006119,2000,EMISR4QSP1, ,Spastic paraparesis,851371000006103,851371000006119
1747851000000119,1000,294B,294B.00,Worsening limb spasticity,781781000000104,1747851000000119
4914481000006118,40,^ESCTSP491448, ,Spasticity,221360009,333936018
5850721000006110,2,^ESCTSP585072, ,Spastic tetraparesis,298282001,2967667014
5850731000006113,1,^ESCTSP585073, ,Spastic quadriparesis,298282001,2967629011
6016441000006118,30,^ESCTSP601644, ,Spastic paraparesis,312444006,456156018
7717311000006111,30,^ESCTTR771731, ,Tropical spastic paraparesis,714279000,3299597018
13503061000006114,1,^ESCT1350306, ,"Early-onset spastic ataxia, myoclonic epilepsy, neuropathy syndrome",771469002,3706346015
250470015,100000,13C4,13C4.00,Needs walking aid in home,160683008,250470015
256974011,30000,39B,39B..00,Walking aid use,165251008,256974011
256976013,90000,39B1,39B1.00,Stick only for walking,165253006,256976013
256977016,10000,39B2,39B2.00,Tripod/quadrupod: walking,165254000,256977016
256979018,20000,39BZ,39BZ.00,Walking aid use - finding,365112008,488300012
256986014,70000,39D,39D..00,Walking distance,165263003,256986014
256987017,4000,39D0,39D0.00,Walks in 1 minute 0-29 metres,165264009,256987017
256990011,6000,39D1,39D1.00,Walks in 1 minute 30-59 metres,165265005,256990011
283114017,300,8D441,8D44100,Walking tripod,183147006,283114017
283277011,4000,8DA6,8DA6.00,Loan of walking stick,183259003,283277011
310951016,9000,N0970,N097000,Walking difficulty due to unspecified site,228158008,342179011
310952011,300,N0971,N097100,Walking difficulty due to pelvic region and thigh,202567001,310952011
310954012,500,N0972,N097200,Walking difficulty due to lower leg,202569003,310954012
310955013,1000,N0973,N097300,Walking difficulty due to ankle and foot,202570002,310955013
310956014,100,N0974,N097400,Walking difficulty due to other specified site,228158008,342179011
310957017,80,N0975,N097500,Walking difficulty due to multiple sites,202572005,310957017
310958010,6000,N097z,N097z00,Difficulty walking,719232003,3315596014
318012012,800,Ryu31,Ryu3100,"[X]Difficulty in walking, not elsewhere classified",228158008,342179011
370598017,4000,185-1,185..11,Walking distance reduced,248244005,370598017
372929017,10000,2999,2999.00,Toe-walking gait,250018006,372929017
397184014,5000,8D44,8D44.00,Walking frame,266731002,397184014
415746019,300,8D44-1,8D44.11,Walking orthosis,278738003,415746019
420456015,10000,3993,3993.00,Difficulty walking up stairs,282195009,420456015
1208958014,30000,663x,663x.00,Asthma limits walking on the flat,370206005,1208958014
1208959018,100000,663w,663w.00,Asthma limits walking up hills or stairs,370207001,1208959018
1780368017,6000,22I31,22I3100,Not yet walking,401169009,1780368017
2838091011,2000,39B7,39B7.00,Uses two crutches for walking,443663000,2838091011
2838470011,20000,39B4,39B4.00,Uses single walking stick,443320005,2838470011
2840178012,1000,39B6,39B6.00,Uses single crutch for walking,443392007,2840178012
2840316012,2000,39B5,39B5.00,Uses two walking sticks,443699005,2840316012
620911000006112,70000,N097,N097.00,Walking disability,228158008,342179011
917501000006114,10,PC0256, ,Loan of walking stick,917501000006105,917501000006114
926321000006118,4,PCNQST5, ,Stick only for walking,926321000006102,926321000006118
926351000006110,1,PCNQOT7, ,Other walking aid,926351000006106,926351000006110
1723151000006111,1,TRIQQNLS136, ,LS:Very restricted mob-using crutches/walking stick if appro,1723151000006107,1723151000006111
1723171000006118,4,TRIQQNRE111, ,Res:Very restrict mob-using crutches/walking stick if appro,1723171000006102,1723171000006118
1752161000000112,3000,398B,398B.00,Deterioration in ability to walk,711387003,3078211016
1754901000000116,100,398C,398C.00,Deterioration in ability to walk up stairs,707261001,3029485014
1958331000006117,70,EMISNQLO35, ,Loan of other walking aid,1958331000006101,1958331000006117
2377911000000114,100,1M111,1M11100,Ischaemic foot pain when walking,713674006,3295993015
2860691000006110,600,^ESCTUN286069, ,Unsteady when walking,22631008,481393014
4933731000006116,200,^ESCTWA493373, ,Walking aid,224899006,338031012
4976511000006110,1,^ESCTIM497651, ,Impaired walking,228158008,1222975018
5250611000006116,40,^ESCTRE525061, ,Repetitive tiptoe walking,247940006,370157019
5279701000006115,30,^ESCTTO527970, ,Toe walking,250018006,2920854010
5660941000006115,300,^ESCTUN566094, ,Unable to walk,282145008,420381018
5660971000006111,8,^ESCTDO566097, ,Does not walk,282147000,420384014
5661021000006115,2,^ESCTUN566102, ,Unable to walk on the flat,282150002,420387019
5661091000006118,6,^ESCTDI566109, ,Difficulty walking on the flat,282153000,420391012
5661291000006114,2,^ESCTUN566129, ,Unable to walk up hill,282168004,420409018
5661361000006111,10,^ESCTDI566136, ,Difficulty walking up hill,282171007,420417014
5661751000006110,50,^ESCTDO566175, ,Does not walk up stairs,282194008,420453011
5661811000006117,1,^ESCTUN566181, ,Unable to walk down stairs,282198006,420459010
5661851000006116,3,^ESCTDI566185, ,Difficulty walking down stairs,282201001,420463015
5661891000006110,20,^ESCTUN566189, ,Unable to initiate walking,282204009,420466011
5661931000006118,2,^ESCTDI566193, ,Difficulty initiating walking,282207002,420470015
5661971000006115,2,^ESCTDO566197, ,Does stop walking,282211008,420475013
5662081000006114,4,^ESCTDI566208, ,Difficulty in starting and stopping walking spontaneously,282220004,420486010
5662181000006110,1,^ESCTUN566218, ,Unable to walk heel to toe,282229003,420496018
5662211000006114,3,^ESCTDO566221, ,Does not walk heel to toe,282231007,420499013
5662221000006118,10,^ESCTDI566222, ,Difficulty walking heel to toe,282232000,420500016
6209201000006117,5,^ESCTWA620920, ,Walking stick,360006004,475657019
7074981000006116,100,^ESCTDE707498, ,Dependent for walking,427512004,2674978013
7308591000006113,30,^ESCTTH730859, ,Three wheeled walking frame,445467007,2872070015
7601301000006110,1,^ESCTWA760130, ,Walker/Walking frame,705404007,3024070013
7601311000006113,1,^ESCTWA760131, ,Walker,705406009,3024074016
7601321000006117,1,^ESCTWA760132, ,Walking stick/Crutches,705407000,3024076019
8061671000006112,30,^ESCTAB806167, ,Able to walk short distances,201771000000108,307221000000116
253033018,4000,1B5Z,1B5Z.00,Incoordination symptom NOS,267083009,397975013
317126019,9000,R013,R013.00,Lack of coordination,281016006,2791317011
317128018,400,R0131,R013100,Muscular incoordination,39384006,66037010
317130016,2000,R013z,R013z00,Incoordination,281016006,418912014
318014013,2000,Ryu33,Ryu3300,Incoordination,281016006,418912014
397975013,200000,1B5,1B5..00,Incoordination symptom,267083009,397975013
1807081000006117,40,EMISNQIN129, ,Incoordination,281016006,1807081000006117
5905091000006116,200,^ESCTCO590509, ,Coordination problem,302289002,443887016
5905101000006110,1,^ESCTAB590510, ,Abnormal coordination,302289002,443886013
6992151000006119,4,^ESCTDE699215, ,Decreased coordination,422576004,2645669019
255070013,4000,29L8-1,29L8.11,O/E - generally off balance,163774005,255070013
372880015,100000,1B52-1,1B52.11,Feels off balance,249983008,372880015
420581019,6000,29LB,29LB.00,Unable to balance,282299006,420581019
528701000000112,10000,29LD,29LD.00,Disorder of gait and/or balance present,299031000000106,528701000000112
960081000006110,2000,EMISCDE6, ,Decreased balance,960081000006106,960081000006110
1746251000000117,5000,29LF,29LF.00,Worsening balance,781091000000100,1746251000000117
2734131000000113,1,^ESCT1171985, ,Unable to balance when standing with feet apart,1091551000000101,2734131000000113
2734151000000118,1,^ESCT1171986, ,Unable to balance when standing with feet together,1091561000000103,2734151000000118
2734171000000110,3,^ESCT1171987, ,Unable to balance when standing with feet in semi-tandem stance,1091571000000105,2734171000000110
2734191000000114,3,^ESCT1171988, ,Unable to balance when standing with feet in tandem stance,1091581000000107,2734191000000114
5279201000006112,20,^ESCTKE527920, ,Keeps losing balance,249984002,372881016
5279211000006110,200,^ESCTPO527921, ,Poor balance,249985001,372882011
5663051000006111,300,^ESCTLO566305, ,Loss of balance,282299006,420580018
5663121000006118,10,^ESCTUN566312, ,Unable to balance when sitting,282305008,420587015
5663191000006116,3,^ESCTUN566319, ,Unable to balance when standing,282311006,420594017
